"ID","date","link","text","score","value"
6349,"10/7/2011","/KimKardashian/status/122417438938759168","At the grocery store with @KourtneyKardash and she is turning into a crazy coupon mom!",-1,"Kourtney"
6349,"10/7/2011","/KimKardashian/status/122417438938759168","At the grocery store with @KourtneyKardash and she is turning into a crazy coupon mom!",-1,"Kris"
6350,NA,NA,NA,NA,NA
6351,NA,NA,NA,NA,NA
6352,NA,NA,NA,NA,NA
6353,NA,NA,NA,NA,NA
6354,NA,NA,NA,NA,NA
6355,NA,NA,NA,NA,NA
6356,NA,NA,NA,NA,NA
6357,"10/6/2011","/KimKardashian/status/121984758916988931","How CUTE is this family pic of us in Hawaii back in the day. It's Kourt, my dad, my mom, Khloe & me! http://twitpic.com/6w1t82 ",1,"Kris"
6357,"10/6/2011","/KimKardashian/status/121984758916988931","How CUTE is this family pic of us in Hawaii back in the day. It's Kourt, my dad, my mom, Khloe & me! http://twitpic.com/6w1t82 ",1,"Khloe"
6357,"10/6/2011","/KimKardashian/status/121984758916988931","How CUTE is this family pic of us in Hawaii back in the day. It's Kourt, my dad, my mom, Khloe & me! http://twitpic.com/6w1t82 ",1,"Kourtney"
6358,NA,NA,NA,NA,NA
6359,"10/6/2011","/KimKardashian/status/121914913496121345","Good luck today @KourtneyKardash co-hosting the Today Show!!! Love you!",3,"Kourtney"
6360,NA,NA,NA,NA,NA
6361,NA,NA,NA,NA,NA
6362,NA,NA,NA,NA,NA
6363,NA,NA,NA,NA,NA
6364,"10/4/2011","/KimKardashian/status/121387457668321281","Just finished my 1st interview ever with my hubby @KrisHumphries on Jay Leno! You guys have to tune in tonight to watch!",0,"Kris"
6365,NA,NA,NA,NA,NA
6366,NA,NA,NA,NA,NA
6367,"10/4/2011","/KimKardashian/status/121267656098725888","OMG just saw @KhloeKardashian & @RealLamarOdom's pistachio commercial! Soooo cute!",1,"Khloe"
6368,NA,NA,NA,NA,NA
6369,NA,NA,NA,NA,NA
6370,NA,NA,NA,NA,NA
6371,NA,NA,NA,NA,NA
6372,NA,NA,NA,NA,NA
6373,NA,NA,NA,NA,NA
6374,NA,NA,NA,NA,NA
6375,NA,NA,NA,NA,NA
6376,NA,NA,NA,NA,NA
6377,NA,NA,NA,NA,NA
6378,NA,NA,NA,NA,NA
6379,NA,NA,NA,NA,NA
6380,NA,NA,NA,NA,NA
6381,NA,NA,NA,NA,NA
6382,NA,NA,NA,NA,NA
6383,NA,NA,NA,NA,NA
6384,NA,NA,NA,NA,NA
6385,NA,NA,NA,NA,NA
6386,"10/1/2011","/KimKardashian/status/120241280809844736","@KhloeKardashian so if a pregnant girl sleeps w 2 identical twin brothers she will never know which one is the dad bc they have the same DNA",0,"Khloe"
6387,NA,NA,NA,NA,NA
6388,NA,NA,NA,NA,NA
6389,NA,NA,NA,NA,NA
6390,NA,NA,NA,NA,NA
6391,NA,NA,NA,NA,NA
6392,NA,NA,NA,NA,NA
6393,NA,NA,NA,NA,NA
6394,NA,NA,NA,NA,NA
6395,NA,NA,NA,NA,NA
6396,NA,NA,NA,NA,NA
6397,NA,NA,NA,NA,NA
6398,NA,NA,NA,NA,NA
6399,NA,NA,NA,NA,NA
6400,"9/29/2011","/KimKardashian/status/119451732857208832","Funniest pic ever! RT @KardashKingdom: This Cute Beautiful Photo of @KimKardashian @KhloeKardashian @KourtneyKardash http://twitpic.com/6seg99 ",2,"Kourtney"
6400,"9/29/2011","/KimKardashian/status/119451732857208832","Funniest pic ever! RT @KardashKingdom: This Cute Beautiful Photo of @KimKardashian @KhloeKardashian @KourtneyKardash http://twitpic.com/6seg99 ",2,"Kim"
6400,"9/29/2011","/KimKardashian/status/119451732857208832","Funniest pic ever! RT @KardashKingdom: This Cute Beautiful Photo of @KimKardashian @KhloeKardashian @KourtneyKardash http://twitpic.com/6seg99 ",2,"Khloe"
6401,NA,NA,NA,NA,NA
6402,NA,NA,NA,NA,NA
6403,NA,NA,NA,NA,NA
6404,NA,NA,NA,NA,NA
6405,NA,NA,NA,NA,NA
6406,NA,NA,NA,NA,NA
6407,"9/28/2011","/KimKardashian/status/119211977229860864","I'm truly jealous! Krispy Kreme is the best thing ever! RT @ForeverMalika: Doughnut date at Krispy Kreme Oww!",0,"Kris"
6408,NA,NA,NA,NA,NA
6409,NA,NA,NA,NA,NA
6410,NA,NA,NA,NA,NA
6411,NA,NA,NA,NA,NA
6412,NA,NA,NA,NA,NA
6413,"9/27/2011","/KimKardashian/status/118777759702073345","Happy 2 year anniversary @KhloeKardashian & @RealLamarOdom !!!! I love you guys!!!",2,"Khloe"
6414,"9/27/2011","/KimKardashian/status/118774441776922624","Look what @RealLamarOdom just sent me & @KourtneyKardash! The card is even sweeter! #BestBrotherInLaw #FAM4LIFE!!! http://twitpic.com/6rjdnv ",0,"Kourtney"
6415,NA,NA,NA,NA,NA
6416,NA,NA,NA,NA,NA
6417,NA,NA,NA,NA,NA
6418,NA,NA,NA,NA,NA
6419,NA,NA,NA,NA,NA
6420,NA,NA,NA,NA,NA
6421,NA,NA,NA,NA,NA
6422,NA,NA,NA,NA,NA
6423,NA,NA,NA,NA,NA
6424,"9/26/2011","/KimKardashian/status/118357417498132480","Also 10 pieces of Belle Noel jewelry & 10 Kardashian Kollection for Sears clothes!!! So go to KimKardashian.com for details today!",0,"Kim"
6425,NA,NA,NA,NA,NA
6426,NA,NA,NA,NA,NA
6427,NA,NA,NA,NA,NA
6428,NA,NA,NA,NA,NA
6429,NA,NA,NA,NA,NA
6430,NA,NA,NA,NA,NA
6431,NA,NA,NA,NA,NA
6432,NA,NA,NA,NA,NA
6433,NA,NA,NA,NA,NA
6434,NA,NA,NA,NA,NA
6435,NA,NA,NA,NA,NA
6436,"9/25/2011","/KimKardashian/status/118065500688367616","Wooowhooo! Let's go UK! RT @JBJVGomez: 10mins till uk gets new KARDASHIANS!!!!!!!!!!!! @KhloeKardashian @KimKardashian @KourtneyKardash :) ",0,"Kim"
6436,"9/25/2011","/KimKardashian/status/118065500688367616","Wooowhooo! Let's go UK! RT @JBJVGomez: 10mins till uk gets new KARDASHIANS!!!!!!!!!!!! @KhloeKardashian @KimKardashian @KourtneyKardash :) ",0,"Khloe"
6436,"9/25/2011","/KimKardashian/status/118065500688367616","Wooowhooo! Let's go UK! RT @JBJVGomez: 10mins till uk gets new KARDASHIANS!!!!!!!!!!!! @KhloeKardashian @KimKardashian @KourtneyKardash :) ",0,"Kourtney"
6437,NA,NA,NA,NA,NA
6438,NA,NA,NA,NA,NA
6439,"9/24/2011","/KimKardashian/status/117800165972254720","Saaawy *in Mason's voice* RT @SheivaG: I'm getting sick...about to take some emergen-c. Thanks @KourtneyKardash + @KimKardashian haha",0,"Kim"
6439,"9/24/2011","/KimKardashian/status/117800165972254720","Saaawy *in Mason's voice* RT @SheivaG: I'm getting sick...about to take some emergen-c. Thanks @KourtneyKardash + @KimKardashian haha",0,"Kourtney"
6440,NA,NA,NA,NA,NA
6441,NA,NA,NA,NA,NA
6442,NA,NA,NA,NA,NA
6443,"9/24/2011","/KimKardashian/status/117637880561676288","Preach it sista! RT @KourtneyKardash: Loose lips sink ships. People need to keep their mouths shut more often. Shut it.",-2,"Kourtney"
6444,NA,NA,NA,NA,NA
6445,NA,NA,NA,NA,NA
6446,NA,NA,NA,NA,NA
6447,NA,NA,NA,NA,NA
6448,NA,NA,NA,NA,NA
6449,NA,NA,NA,NA,NA
6450,NA,NA,NA,NA,NA
6451,"9/22/2011","/KimKardashian/status/116907718165544960","Did u see @KhloeKardashian that girl deleted her tweets real fast! Just ignorance and bad manners!",-1,"Khloe"
6452,NA,NA,NA,NA,NA
6453,NA,NA,NA,NA,NA
6454,NA,NA,NA,NA,NA
6455,NA,NA,NA,NA,NA
6456,NA,NA,NA,NA,NA
6457,NA,NA,NA,NA,NA
6458,NA,NA,NA,NA,NA
6459,NA,NA,NA,NA,NA
6460,NA,NA,NA,NA,NA
